rank,date,original_transfer_date,date_note,season,club,player,direction,transfer_type,transfer_quality,rumor_count,max_rumor_strength,observed_car_m1_p1,observed_label,heuristic_predicted_car,heuristic_label,confidence,interpretation
115,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Federico Bernardeschi,out,permanent,0.695,0,,0.014399,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
116,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Paulo Dybala,out,permanent,0.695,0,,0.014399,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
117,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Fabio Miretti,in,permanent,0.625,0,,0.014399,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
118,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Andrea Cambiaso,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
119,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Arthur Melo,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
120,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Denis Zakaria,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
121,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Federico Chiesa,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
122,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Filippo Ranocchia,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
123,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Giacomo Vrioni,out,permanent,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
124,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Gianluca Frabotta,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
125,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Luca Pellegrini,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
126,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Marko Pjaca,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
127,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Matthijs de Ligt,out,permanent,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
128,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Merih Demiral,out,permanent,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
129,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Nicolò Rovella,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
130,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Radu Dragusin,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
131,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Rolando Mandragora,out,permanent,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
132,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Stefano Gori,out,loan,0.67,0,,0.014399,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
133,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,Juventus FC,Ángel Di María,in,permanent,0.525,0,,0.014399,neutral,0.0015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
134,2021-08-27,2021-08-27,earliest credible news/article date,2021-22,Manchester United,Cristiano Ronaldo,in,permanent,0.5275,2,0.675,0.013844,neutral,0.0104,neutral,0.6538,Observed neutral abnormal return; heuristic says neutral; 2 matched rumor/news rows.
135,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Julian Ryerson,in,permanent,0.75,0,,0.013414,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
136,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Thorgan Hazard,out,loan,0.72,0,,0.013414,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
137,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Borussia Dortmund,Julien Duranville,in,permanent,0.575,0,,0.013414,neutral,0.0045,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
138,2023-07-01,2023-07-01,proxy window date; not exact announcement date,2023-24,Borussia Dortmund,Jude Bellingham,out,permanent,0.5961,0,,-0.012721,neutral,0.0037,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
139,2021-06-26,2021-07-01,earliest credible news/article date,2021-22,Manchester United,Sergio Romero,out,permanent,0.775,2,0.465,-0.012027,neutral,0.009,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 2 matched rumor/news rows.
140,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Jovane Cabral,in,loan,0.75,0,,0.010604,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
141,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Jony,out,loan,0.745,0,,0.010604,neutral,0.0096,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
142,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Gonzalo Escalante,out,loan,0.695,0,,0.010604,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
143,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Riza Durmisi,out,loan,0.695,0,,0.010604,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
144,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Alessandro Rossi,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
145,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,André Anderson,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
146,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Bobby Adekanye,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
147,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Cristiano Lombardi,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
148,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Denis Vavro,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
149,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Djavan Anderson,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
150,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Jordan Lukaku,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
151,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Mohamed Fares,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
152,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,SS Lazio,Vedat Muriqi,out,loan,0.67,0,,0.010604,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
153,2021-06-27,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Donyell Malen,in,permanent,0.725,2,0.465,-0.01057,neutral,0.0118,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 2 matched rumor/news rows.
154,2021-06-26,2021-07-01,earliest credible news/article date,2021-22,Borussia Dortmund,Lukasz Piszczek,out,permanent,0.775,2,0.465,-0.01057,neutral,0.009,neutral,0.5593,Observed neutral abnormal return; heuristic says neutral; 2 matched rumor/news rows.
155,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Ansgar Knauff,out,loan,0.67,0,,-0.008828,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
156,2022-01-01,2022-01-01,proxy window date; not exact announcement date,2021-22,Borussia Dortmund,Tobias Raschl,out,permanent,0.67,0,,-0.008828,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
157,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Cristiano Ronaldo,out,permanent,0.775,0,,-0.008763,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
158,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Martin Dúbravka,out,loan,0.775,0,,-0.008763,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
159,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Marcel Sabitzer,in,loan,0.675,0,,-0.008763,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
160,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Jack Butland,in,loan,0.65,0,,-0.008763,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
161,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Zidane Iqbal,in,permanent,0.65,0,,-0.008763,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
162,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Wout Weghorst,in,loan,0.625,0,,-0.008763,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
163,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Axel Tuanzebe,out,loan,0.67,0,,-0.008763,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
164,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Shola Shoretire,out,loan,0.67,0,,-0.008763,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
165,2023-01-01,2023-01-01,proxy window date; not exact announcement date,2022-23,Manchester United,Kobbie Mainoo,in,permanent,0.6,0,,-0.008763,neutral,0.006,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
166,2021-07-01,2021-07-01,earliest credible news/article date,2021-22,Manchester United,Jadon Sancho,in,permanent,0.7,2,0.675,0.007938,neutral,0.0207,positive,0.6538,Observed neutral abnormal return; heuristic says positive; 2 matched rumor/news rows.
167,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Axel Tuanzebe,in,loan,0.775,0,,0.007938,neutral,0.0165,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
168,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Andreas Pereira,in,loan,0.75,0,,0.007938,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
169,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Donny van de Beek,in,loan,0.75,0,,0.007938,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
170,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Diogo Dalot,in,loan,0.725,0,,0.007938,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
171,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Tahith Chong,in,loan,0.725,0,,0.007938,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
172,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Brandon Williams,in,loan,0.7,0,,0.007938,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
173,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,James Garner,in,loan,0.7,0,,0.007938,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
174,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Tahith Chong,in,loan,0.7,0,,0.007938,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
175,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Raphaël Varane,in,permanent,0.675,0,,0.007938,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
176,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Teden Mengi,in,loan,0.675,0,,0.007938,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
177,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Amad Diallo,in,loan,0.65,0,,0.007938,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
178,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Facundo Pellistri,in,loan,0.65,0,,0.007938,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
179,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Hannibal Mejbri,in,permanent,0.625,0,,0.007938,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
180,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Andreas Pereira,out,loan,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
181,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Axel Tuanzebe,out,loan,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
182,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Brandon Williams,out,loan,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
183,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Daniel James,out,permanent,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
184,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Facundo Pellistri,out,loan,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
185,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,James Garner,out,loan,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
186,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Tahith Chong,out,loan,0.67,0,,0.007938,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
187,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Shola Shoretire,in,permanent,0.6,0,,0.007938,neutral,0.006,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
188,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Cristiano Ronaldo,in,permanent,0.475,0,,0.007938,neutral,-0.0015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
189,2021-07-01,2021-07-01,proxy window date; not exact announcement date,2021-22,Manchester United,Tom Heaton,in,permanent,0.5,0,,0.007938,neutral,0.0,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
190,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Nicolò Casale,in,permanent,0.775,0,,0.00765,neutral,0.0165,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
191,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Luís Maximiano,in,permanent,0.75,0,,0.00765,neutral,0.015,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
192,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Marcos Antônio,in,permanent,0.725,0,,0.00765,neutral,0.0135,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
193,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Alessio Romagnoli,in,permanent,0.7,0,,0.00765,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
194,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Mario Gila,in,permanent,0.7,0,,0.00765,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
195,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Mattia Zaccagni,in,permanent,0.7,0,,0.00765,neutral,0.012,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
196,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Francesco Acerbi,out,loan,0.775,0,,0.00765,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
197,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Lucas Leiva,out,permanent,0.775,0,,0.00765,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
198,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Pepe Reina,out,permanent,0.775,0,,0.00765,neutral,0.0107,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
199,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Ivan Provedel,in,permanent,0.675,0,,0.00765,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
200,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Jony,out,loan,0.77,0,,0.00765,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
201,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Matteo Cancellieri,in,loan,0.675,0,,0.00765,neutral,0.0105,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
202,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Marco Bertini,in,permanent,0.65,0,,0.00765,neutral,0.009,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
203,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Gonzalo Escalante,out,loan,0.72,0,,0.00765,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
204,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Jean-Daniel Akpa Akpro,out,loan,0.72,0,,0.00765,neutral,0.0086,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
205,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Jordan Lukaku,out,permanent,0.695,0,,0.00765,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
206,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Riza Durmisi,out,loan,0.695,0,,0.00765,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
207,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Vedat Muriqi,out,permanent,0.695,0,,0.00765,neutral,0.0076,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
208,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Matías Vecino,in,permanent,0.625,0,,0.00765,neutral,0.0075,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
209,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Alessandro Rossi,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
210,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Angelo Ndrecka,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
211,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Biagio Morrone,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
212,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Bobby Adekanye,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
213,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Cristiano Lombardi,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
214,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Denis Vavro,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
215,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Djavan Anderson,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
216,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Emanuele Cicerelli,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
217,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Fabio Maistro,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
218,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Joaquín Correa,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
219,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Jorge Silva,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
220,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Jovane Cabral,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
221,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Luca Falbo,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
222,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Luiz Felipe,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
223,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Marco Alia,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
224,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Mattia Novella,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
225,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Mattia Zaccagni,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
226,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Nicolò Armini,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
227,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Patryk Dziczek,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
228,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Raúl Moro,out,loan,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
229,2022-07-01,2022-07-01,proxy window date; not exact announcement date,2022-23,SS Lazio,Sofian Kiyine,out,permanent,0.67,0,,0.00765,neutral,0.0066,neutral,0.575,Observed neutral abnormal return; heuristic says neutral; 0 matched rumor/news rows.
